RG Sharma;batter;right;spin;India;41;438;28;837;488;30;0;0;0;0;0;0;
S Dhawan;batter;left;spin;India;80;458;0;837;402;0;0;0;0;0;0;0;
V Kohli;batter;right;pace;India;36;776;29;362;799;155;0;0;0;0;0;0;
SS Iyer;batter;right;spin;India;13;506;36;89;759;109;0;6;10;0;12;5;
KM Jadhav;allrounder;right;spin;India;0;34;24;0;62;112;0;26;0;0;73;0;
RR Pant;batter;left;;India;0;248;13;68;369;66;0;0;0;0;0;0;
RA Jadeja;allrounder;left;spin;India;0;135;42;4;254;195;0;748;30;0;388;7;
B Kumar;bowler;right;pace;India;0;13;8;0;7;24;182;138;142;243;82;55;
Kuldeep Yadav;bowler;left;spin;India;0;20;7;0;22;63;6;1137;50;6;818;60;
Mohammed Shami;bowler;right;pace;India;0;7;12;0;22;48;373;251;154;258;188;96;
KK Ahmed;bowler;right;pace;India;0;0;0;0;0;0;0;21;18;30;35;0;
YS Chahal;bowler;right;spin;India;0;9;9;0;12;45;24;822;178;18;486;70;
KL Rahul;batter;right;;India;49;583;38;366;736;136;0;0;0;0;0;0;
MS Dhoni;batter;right;pace;India;0;82;37;0;70;131;0;0;0;0;0;0;
HH Pandya;allrounder;right;pace;India;0;203;33;3;425;224;107;468;92;114;290;55;
JJ Bumrah;bowler;right;pace;India;0;2;13;0;4;35;341;233;232;219;169;144;
V Shankar;allrounder;right;pace;India;0;35;0;0;27;16;10;10;3;5;3;3;
KD Karthik;batter;right;spin;India;0;0;3;25;0;6;0;0;0;0;0;0;
SN Thakur;bowler;right;pace;India;0;39;51;0;65;134;174;602;136;127;385;72;
MK Pandey;batter;right;pace;India;3;63;12;12;47;12;0;0;0;0;0;0;
Navdeep Saini;bowler;right;pace;India;0;14;28;0;41;58;74;137;68;55;71;30;
PP Shaw;batter;right;spin;India;12;13;0;139;10;0;0;0;0;0;0;0;
MA Agarwal;batter;right;spin;India;0;0;0;91;0;0;0;6;0;0;0;0;
S Dube;allrounder;left;pace;India;0;0;0;0;0;7;2;10;6;4;14;11;
DL Chahar;bowler;right;pace;India;0;51;35;0;33;85;175;93;58;116;57;7;
